id,handle,title,body,sku,price,"Variant Taxable",barcode,"Image Src","Image Position",collection
1,300-301-050-athens-oval-coffee-table,"Athens Oval Coffee Table","<br><h3> <h3>Concrete Effect/Black</h3> </h3><br> <div class=""panel_info"" id=""tabs-features""> <div class=""action_nav_title mobile_collapse""> <span class=""icon icon20 i_features""></span> <h3><h3><h3><h3><h3><h3><h3><h3>Key Features</h3></h3></h3></h3></h3></h3></h3></h3> </div> <div class=""inner_panel_info""> <div class=""row""> <div class=""column-12""> <h4>Assembled Sizes W x D x H (MM)</h4> </div> <div class=""column-6""> 1000 x 600 x 455  </div> </div>  <div class=""row""> <!--div class=""column-6""> <div class=""row""> <div class=""column-12""> <h4>EAN-13 Barcode</h4> </div> <div class=""column-12""></div> </div> </div--> <div class=""column-6""> <div class=""row""> <div class=""column-12""> <h4>Quantity Of Cartons</h4> </div> <div class=""column-12"">1</div> </div> </div> </div> <div class=""row""> <table class=""table"">   <thead> <tr>   <th>Stock Code</th>   <th>Flatpack Dimensions (MM)</th>   <th>Cubic Capacity (M<sup>3</sup>)</th>   <th>Weight (Kg)</th>   <th>Ctn Qty</th> </tr>   </thead>   <tbody>   <tr>   <td>300-301-050-101</td>   <td>1070 x 660 x 100</td> <td>0.0706</td> <td>13.00</td>   <td>1</td> </tr> </tbody> </table> </div> </div> </div> <div class=""panel_info"" id=""tabs-info""> <div class=""action_nav_title mobile_collapse""> <span class=""icon icon20 i_info""></span> <h3><h3><h3><h3><h3><h3><h3>Information &amp; Materials</h3></h3></h3></h3></h3></h3></h3> </div> <div class=""inner_panel_info""> <div class=""row""> <div class=""column-12""> <h4>Product Materials</h4> </div> <div class=""column-12""> MDF, METAL, 3D PAPER VENEER</div> </div> <div class=""row""> <div class=""column-12""> <h4>Extra Information</h4> </div>   <!-- TOP THICKNESS 20MM--> <div class=""column-12 column-lg-6"">Top Thickness 20mm</div> <div class=""column-12 column-lg-6"">Leg Thickness 40x20mm</div> <div class=""column-12 column-lg-6"">Height Of Frame 435mm</div> </div> </div> </div> <div class=""panel_info"" id=""tabs-downloads""> <div class=""action_nav_title mobile_collapse""> <span class=""icon icon20 i_downloads""></span> <br>",300-301-050,54.00,FALSE,5056065614800,"https://seconique.co.uk/wp-content/uploads/2019/11/ATHENS-OVAL-COFFEE-TABLE-CONCRETE-EFFECT-2020-01-300-301-050-400x235.jpg
",1,"All Living Room"
2,300-301-050-athens-oval-coffee-table,,,,,,,"https://seconique.co.uk/wp-content/uploads/2019/11/ATHENS-OVAL-COFFEE-TABLE-CONCRETE-EFFECT-2020-02-300-301-050-400x195.jpg
",2,
3,300-301-050-athens-oval-coffee-table,,,,,,,"https://seconique.co.uk/wp-content/uploads/2019/11/ATHENS-OVAL-COFFEE-TABLE-CONCRETE-EFFECT-2020-03-300-301-050-400x335.jpg
",3,
4,300-301-050-athens-oval-coffee-table,,,,,,,"https://seconique.co.uk/wp-content/uploads/2019/11/ATHENS-OVAL-COFFEE-TABLE-CONCRETE-EFFECT-2020-04-300-301-050-400x285.jpg
",4,
9,300-301-005-cambourne-2-drawer-coffee-table,"Cambourne 2 Drawer Coffee Table","<br><h3> <h3>Sonoma Oak Effect Veneer</h3> </h3><br> <div class=""panel_info"" id=""tabs-features""> <div class=""action_nav_title mobile_collapse""> <span class=""icon icon20 i_features""></span> <h3><h3><h3><h3>Key Features</h3></h3></h3></h3> </div> <div class=""inner_panel_info""> <div class=""row""> <div class=""column-12""> <h4>Assembled Sizes W x D x H (MM)</h4> </div> <div class=""column-6""> 1000 x 455 x 405  </div> </div>  <div class=""row""> <!--div class=""column-6""> <div class=""row""> <div class=""column-12""> <h4>EAN-13 Barcode</h4> </div> <div class=""column-12""></div> </div> </div--> <div class=""column-6""> <div class=""row""> <div class=""column-12""> <h4>Quantity Of Cartons</h4> </div> <div class=""column-12"">1</div> </div> </div> </div> <div class=""row""> <table class=""table"">   <thead> <tr>   <th>Stock Code</th>   <th>Flatpack Dimensions (MM)</th>   <th>Cubic Capacity (M<sup>3</sup>)</th>   <th>Weight (Kg)</th>   <th>Ctn Qty</th> </tr>   </thead>   <tbody>   <tr>   <td>300-301-005-101</td>   <td>1050 x 468 x 160</td> <td>0.0786</td> <td>24.25</td>   <td>1</td> </tr> </tbody> </table> </div> </div> </div> <div class=""panel_info"" id=""tabs-info""> <div class=""action_nav_title mobile_collapse""> <span class=""icon icon20 i_info""></span> <h3><h3><h3><h3>Information &amp; Materials</h3></h3></h3></h3> </div> <div class=""inner_panel_info""> <div class=""row""> <div class=""column-12""> <h4>Product Materials</h4> </div> <div class=""column-12""> COMPOSITE BOARD, 3D PAPER VENEER, 3D PLASTIC VENEER, MDF DRAWER BASE, COMPOSITE BOARD HANDLE, METAL DRAWER RUNNERS</div> </div> <div class=""row""> <div class=""column-12""> <h4>Extra Information</h4> </div>   <!-- INTERNAL DRAWER SPACE W415 D305 H70MM--> <div class=""column-12 column-lg-6"">Internal Drawer Space W415 D305 H70mm</div> <div class=""column-12 column-lg-6"">Drawer Front Size W470 H145mm</div> <div class=""column-12 column-lg-6"">Shelf Space W945 D450 H145mm</div> </div> </div> </div> <div class=""panel_info"" id=""tabs-downloads""> <div class=""action_nav_title mobile_collapse""> <span class=""icon icon20 i_downloads""></span> <br>",300-301-005,53.00,FALSE,5056065604016,"https://seconique.co.uk/wp-content/uploads/2019/01/CAMBOURNE-2-DRAWER-COFFEE-TABLE-LIGHT-SONOMA-OAK-2019-01-300-301-005-400x181.jpg
",1,"All Living Room"
10,300-301-005-cambourne-2-drawer-coffee-table,,,,,,,"https://seconique.co.uk/wp-content/uploads/2019/01/CAMBOURNE-2-DRAWER-COFFEE-TABLE-LIGHT-SONOMA-OAK-2019-02-300-301-005-400x174.jpg
",2,
11,300-301-005-cambourne-2-drawer-coffee-table,,,,,,,"https://seconique.co.uk/wp-content/uploads/2019/01/CAMBOURNE-2-DRAWER-COFFEE-TABLE-LIGHT-SONOMA-OAK-2019-03-300-301-005-400x167.jpg
",3,
12,300-301-005-cambourne-2-drawer-coffee-table,,,,,,,"https://seconique.co.uk/wp-content/uploads/2019/01/CAMBOURNE-2-DRAWER-COFFEE-TABLE-LIGHT-SONOMA-OAK-2019-04-300-301-005-400x380.jpg
",4,
13,300-301-005-cambourne-2-drawer-coffee-table,,,,,,,"https://seconique.co.uk/wp-content/uploads/2019/01/CAMBOURNE-2-DRAWER-COFFEE-TABLE-LIGHT-SONOMA-OAK-2019-05-300-301-005-400x166.jpg
",5,
14,300-301-005-cambourne-2-drawer-coffee-table,,,,,,,"https://seconique.co.uk/wp-content/uploads/2019/01/CAMBOURNE-2-DRAWER-COFFEE-TABLE-LIGHT-SONOMA-OAK-2019-06-300-301-005-400x400.jpg
",6,
